sample_idx,baseline,avg_kl,exact_match,num_masks
18,cond_sample,14.069973945617676,0,1
18,cond_topk_rescore,0.0011653685942292213,0,1
18,gibbs,0.00122352025937289,0,1
19,ground_truth,-1.047738962256517e-08,1,1
19,untouched,7.723241806030273,0,1
19,random_token,18.52506446838379,0,1
19,cond_argmax,-1.047738962256517e-08,1,1
19,cond_sample,-1.047738962256517e-08,1,1
19,cond_topk_rescore,-1.047738962256517e-08,1,1
19,gibbs,-1.047738962256517e-08,1,1
20,ground_truth,2.7008354663848877e-08,1,1
20,untouched,10.062178611755371,0,1
20,random_token,9.537034034729004,0,1
20,cond_argmax,8.709819793701172,0,1
20,cond_sample,8.709819793701172,0,1
20,cond_topk_rescore,7.381202220916748,0,1
20,gibbs,8.709819793701172,0,1
21,ground_truth,9.359791874885559e-08,1,1
21,untouched,8.39741325378418,0,1
21,random_token,6.480189323425293,0,1
21,cond_argmax,9.359791874885559e-08,1,1
21,cond_sample,9.359791874885559e-08,1,1
21,cond_topk_rescore,9.359791874885559e-08,1,1
21,gibbs,9.359791874885559e-08,1,1
22,ground_truth,8.381903171539307e-09,1,1
22,untouched,1.751721978187561,0,1
22,random_token,5.702231407165527,0,1
22,cond_argmax,15.182498931884766,0,1
22,cond_sample,15.182498931884766,0,1
22,cond_topk_rescore,3.525449514389038,0,1
22,gibbs,8.381903171539307e-09,1,1
23,ground_truth,1.6025410332076717e-08,1,1
23,untouched,14.531895637512207,0,1
23,random_token,8.863503456115723,0,1
23,cond_argmax,8.646842002868652,0,1
23,cond_sample,8.646842002868652,0,1
23,cond_topk_rescore,1.6025410332076717e-08,1,1
23,gibbs,8.646842002868652,0,1
24,ground_truth,2.6076918402395677e-08,1,1
24,untouched,3.282691478729248,0,1
24,random_token,6.552388668060303,0,1
24,cond_argmax,10.071516036987305,0,1
24,cond_sample,10.071516036987305,0,1
24,cond_topk_rescore,10.071516036987305,0,1
24,gibbs,10.071516036987305,0,1
25,ground_truth,-2.980182500778028e-08,1,1
25,untouched,14.791743278503418,0,1
25,random_token,12.15909194946289,0,1
25,cond_argmax,11.311427116394043,0,1
25,cond_sample,11.311427116394043,0,1
25,cond_topk_rescore,9.690608978271484,0,1
25,gibbs,10.451064109802246,0,1
26,ground_truth,7.916241884231567e-09,1,1
26,untouched,13.701017379760742,0,1
26,random_token,15.921784400939941,0,1
26,cond_argmax,18.996084213256836,0,1
26,cond_sample,18.996084213256836,0,1
26,cond_topk_rescore,18.298500061035156,0,1
26,gibbs,13.701017379760742,0,1
27,ground_truth,1.8766149878501892e-07,1,1
27,untouched,10.101313591003418,0,1
27,random_token,8.57051944732666,0,1
27,cond_argmax,11.26655101776123,0,1
27,cond_sample,11.26655101776123,0,1
27,cond_topk_rescore,13.080739974975586,0,1
27,gibbs,11.885346412658691,0,1
28,ground_truth,3.330546860524919e-08,1,1
28,untouched,13.641159057617188,0,1
28,random_token,7.34727668762207,0,1
28,cond_argmax,3.330546860524919e-08,1,1
28,cond_sample,3.330546860524919e-08,1,1
28,cond_topk_rescore,3.330546860524919e-08,1,1
28,gibbs,3.330546860524919e-08,1,1
29,ground_truth,-3.18444790536887e-08,1,1
29,untouched,9.568931579589844,0,1
29,random_token,3.9407248497009277,0,1
29,cond_argmax,8.186732292175293,0,1
29,cond_sample,8.186732292175293,0,1
29,cond_topk_rescore,2.110111951828003,0,1
29,gibbs,9.568931579589844,0,1
30,ground_truth,1.4901161193847656e-08,1,1
30,untouched,13.484209060668945,0,1
30,random_token,9.58340072631836,0,1
30,cond_argmax,1.4901161193847656e-08,1,1
30,cond_sample,16.054040908813477,0,1
30,cond_topk_rescore,1.4901161193847656e-08,1,1
30,gibbs,16.054040908813477,0,1
31,ground_truth,-2.5131157599389553e-08,1,1
31,untouched,8.1764554977417,0,1
31,random_token,7.476874828338623,0,1
31,cond_argmax,15.963549613952637,0,1
31,cond_sample,15.963549613952637,0,1
31,cond_topk_rescore,9.527546882629395,0,1
31,gibbs,8.1764554977417,0,1
32,ground_truth,-7.449727945640916e-09,1,1
32,untouched,14.906597137451172,0,1
32,random_token,5.643313407897949,0,1
32,cond_argmax,-7.449727945640916e-09,1,1
32,cond_sample,-7.449727945640916e-09,1,1
32,cond_topk_rescore,-7.449727945640916e-09,1,1
32,gibbs,-7.449727945640916e-09,1,1
33,ground_truth,-6.151594789116643e-10,1,1
33,untouched,15.346450805664062,0,1
33,random_token,16.13084602355957,0,1
33,cond_argmax,10.750082015991211,0,1
33,cond_sample,11.297520637512207,0,1
33,cond_topk_rescore,12.996500015258789,0,1
33,gibbs,11.681709289550781,0,1
34,ground_truth,-2.3283064365386963e-10,1,1
34,untouched,9.83146858215332,0,1
34,random_token,8.133712768554688,0,1
34,cond_argmax,9.776494026184082,0,1
34,cond_sample,10.889145851135254,0,1
34,cond_topk_rescore,3.911299467086792,0,1
34,gibbs,1.0469170808792114,0,1
35,ground_truth,5.844049155712128e-08,1,1
35,untouched,10.231512069702148,0,1
35,random_token,20.725624084472656,0,1
35,cond_argmax,5.082403182983398,0,1
35,cond_sample,5.082403182983398,0,1
35,cond_topk_rescore,5.082403182983398,0,1
35,gibbs,5.082403182983398,0,1
36,ground_truth,-3.1886929718893953e-07,1,1
36,untouched,5.838580131530762,0,1
36,random_token,10.528955459594727,0,1
36,cond_argmax,-3.1886929718893953e-07,1,1
36,cond_sample,-3.1886929718893953e-07,1,1
36,cond_topk_rescore,-3.1886929718893953e-07,1,1
36,gibbs,-3.1886929718893953e-07,1,1
37,ground_truth,-9.080395102500916e-09,1,1
37,untouched,11.662808418273926,0,1
37,random_token,9.746676445007324,0,1
37,cond_argmax,12.547728538513184,0,1
37,cond_sample,12.619147300720215,0,1
37,cond_topk_rescore,12.547728538513184,0,1
37,gibbs,12.547728538513184,0,1
38,ground_truth,8.242204785346985e-08,1,1
38,untouched,3.985558032989502,0,1
38,random_token,0.7614508867263794,0,1
38,cond_argmax,13.757345199584961,0,1
38,cond_sample,0.8946700096130371,0,1
38,cond_topk_rescore,8.242204785346985e-08,1,1
38,gibbs,11.664769172668457,0,1
39,ground_truth,-7.66249286243692e-10,1,1
39,untouched,8.105891227722168,0,1
39,random_token,14.711501121520996,0,1
39,cond_argmax,8.659323692321777,0,1
39,cond_sample,19.13779067993164,0,1
39,cond_topk_rescore,0.8303257822990417,0,1
39,gibbs,8.659323692321777,0,1
40,ground_truth,2.220303940703161e-09,1,1
40,untouched,2.689793586730957,0,1
40,random_token,10.975241661071777,0,1
40,cond_argmax,3.1351375579833984,0,1
40,cond_sample,1.731676459312439,0,1
40,cond_topk_rescore,1.4065637588500977,0,1
40,gibbs,2.689793586730957,0,1
41,ground_truth,-2.23528786591487e-08,1,1
41,untouched,3.8320116996765137,0,1
41,random_token,13.000158309936523,0,1
41,cond_argmax,10.91695499420166,0,1
41,cond_sample,10.466333389282227,0,1
41,cond_topk_rescore,14.990959167480469,0,1
41,gibbs,3.8320116996765137,0,1
42,ground_truth,2.9605416784761474e-08,1,1
42,untouched,1.1906917095184326,0,1
42,random_token,3.132706880569458,0,1
42,cond_argmax,0.002289077965542674,0,1
42,cond_sample,0.02090344950556755,0,1
42,cond_topk_rescore,0.002289077965542674,0,1
42,gibbs,0.006116847041994333,0,1
43,ground_truth,-2.988042524521006e-08,1,1
43,untouched,1.301743507385254,0,1
43,random_token,10.126745223999023,0,1
43,cond_argmax,-2.988042524521006e-08,1,1
43,cond_sample,-2.988042524521006e-08,1,1
43,cond_topk_rescore,-2.988042524521006e-08,1,1
43,gibbs,-2.988042524521006e-08,1,1
44,ground_truth,1.862645149230957e-08,1,1
44,untouched,7.909488201141357,0,1
44,random_token,5.062406539916992,0,1
44,cond_argmax,7.46535587310791,0,1
44,cond_sample,7.46535587310791,0,1
44,cond_topk_rescore,0.027139835059642792,0,1
44,gibbs,7.46535587310791,0,1
45,ground_truth,-4.6566128730773926e-09,1,1
45,untouched,7.627949237823486,0,1
45,random_token,11.929591178894043,0,1
45,cond_argmax,3.9170632362365723,0,1
45,cond_sample,3.9170632362365723,0,1
45,cond_topk_rescore,5.589383602142334,0,1
45,gibbs,3.9170632362365723,0,1
46,ground_truth,-7.464315388006071e-09,1,1
46,untouched,4.300440788269043,0,1
46,random_token,1.6937930583953857,0,1
46,cond_argmax,0.5263177156448364,0,1
46,cond_sample,0.3677971363067627,0,1
46,cond_topk_rescore,0.9640254378318787,0,1
46,gibbs,0.5263177156448364,0,1
47,ground_truth,-2.9798229661537334e-08,1,1
47,untouched,4.857358932495117,0,1
47,random_token,13.515613555908203,0,1
47,cond_argmax,11.901396751403809,0,1
